Amazon Brand Analytics - Search Query Performance

Search Term,Search Frequency Rank,#1 Clicked ASIN,#1-#3 Click Share,#1-#3 Conversion Share,Week Ending
shower curtain,7,B0X3273137,0.314,0.528,2026-08-28
fabric shower curtain,16,B0X7373495,0.5338,0.2617,2026-08-28
waterproof shower curtain,23,B0X8224541,0.5388,0.4896,2026-08-28
shower curtain liner,32,B0X3283789,0.3122,0.3794,2026-08-28
hotel shower curtain,40,B0X4369728,0.3908,0.1964,2026-08-28
waffle shower curtain,45,B0X6354241,0.3082,0.4188,2026-08-28
black shower curtain,52,B0X5067204,0.3234,0.2405,2026-08-28
shower curtain with hooks,59,B0X7123944,0.2301,0.3625,2026-08-28
72 inch shower curtain,67,B0X4018677,0.48,0.3565,2026-08-28
mold resistant shower curtain,75,B0X8744735,0.5949,0.2101,2026-08-28
clear shower liner,79,B0X2160289,0.5403,0.4621,2026-08-28
bathroom curtain set,87,B0X9376917,0.2412,0.2502,2026-08-28
shower curtain rings,93,B0X3586094,0.4947,0.4593,2026-08-28
luxury shower curtain,98,B0X8534089,0.6159,0.3261,2026-08-28
peva shower curtain liner,108,B0X9965197,0.4029,0.5158,2026-08-28
