Brand Metrics Report

Date,ASIN,Brand Search Volume,New-to-Brand Orders,New-to-Brand %,Repeat Purchase %
2026-08-01,B0C1,728,261,35.85,15.49
2026-08-01,B0C2,668,260,38.92,15.75
2026-08-02,B0C1,387,105,27.13,8.98
2026-08-02,B0C2,663,187,28.21,13.35
2026-08-03,B0C1,876,391,44.63,14.13
2026-08-03,B0C2,709,314,44.29,9.98
2026-08-04,B0C1,740,200,27.03,7.18
2026-08-04,B0C2,527,185,35.1,12.23
2026-08-05,B0C1,894,346,38.7,8.65
2026-08-05,B0C2,683,224,32.8,15.27
2026-08-06,B0C1,812,227,27.96,17.97
2026-08-06,B0C2,794,215,27.08,10.99
2026-08-07,B0C1,387,105,27.13,17.29
2026-08-07,B0C2,445,142,31.91,10.12
2026-08-08,B0C1,511,181,35.42,10.18
2026-08-08,B0C2,399,134,33.58,14.36
2026-08-09,B0C1,626,164,26.2,6.54
2026-08-09,B0C2,417,106,25.42,10.12
2026-08-10,B0C1,411,158,38.44,7.97
2026-08-10,B0C2,549,193,35.15,12.62
2026-08-11,B0C1,638,230,36.05,17.5
2026-08-11,B0C2,537,219,40.78,13.56
2026-08-12,B0C1,490,185,37.76,11.19
2026-08-12,B0C2,329,130,39.51,16.6
2026-08-13,B0C1,760,280,36.84,10.67
2026-08-13,B0C2,519,151,29.09,15.03
2026-08-14,B0C1,364,133,36.54,15.59
2026-08-14,B0C2,849,243,28.62,9.91
2026-08-15,B0C1,768,209,27.21,14.05
2026-08-15,B0C2,801,284,35.46,13.67
2026-08-16,B0C1,697,259,37.16,13.04
2026-08-16,B0C2,656,210,32.01,11.49
2026-08-17,B0C1,476,196,41.18,14.47
2026-08-17,B0C2,604,261,43.21,13.08
2026-08-18,B0C1,437,136,31.12,8.86
2026-08-18,B0C2,419,120,28.64,14.32
2026-08-19,B0C1,823,269,32.69,13.16
2026-08-19,B0C2,888,290,32.66,8.23
2026-08-20,B0C1,850,330,38.82,13.74
2026-08-20,B0C2,477,172,36.06,11.88
2026-08-21,B0C1,443,127,28.67,16.1
2026-08-21,B0C2,354,149,42.09,17.42
2026-08-22,B0C1,796,220,27.64,15.78
2026-08-22,B0C2,875,307,35.09,11.94
2026-08-23,B0C1,803,267,33.25,16.08
2026-08-23,B0C2,800,226,28.25,12.78
2026-08-24,B0C1,525,161,30.67,9.3
2026-08-24,B0C2,850,261,30.71,15.37
2026-08-25,B0C1,879,350,39.82,15.19
2026-08-25,B0C2,862,303,35.15,12.87
2026-08-26,B0C1,574,232,40.42,15.88
2026-08-26,B0C2,675,241,35.7,15.08
2026-08-27,B0C1,751,269,35.82,17.88
2026-08-27,B0C2,404,160,39.6,13.84
2026-08-28,B0C1,553,171,30.92,17.99
2026-08-28,B0C2,760,229,30.13,16.35
2026-08-29,B0C1,389,131,33.68,17.93
2026-08-29,B0C2,542,158,29.15,14.85
2026-08-30,B0C1,659,278,42.19,13.32
2026-08-30,B0C2,738,208,28.18,7.67
