Business Report - Detail Page Sales and Traffic by Child Item

Date,ASIN,Sessions,Page Views,Units Ordered,Total Order Items,Ordered Product Sales,Available Inventory
2026-08-01,B0C1,757,1514,29,27,699.72,3171
2026-08-01,B0C2,671,1342,33,31,821.42,3138
2026-08-02,B0C1,765,1530,30,28,791.83,3108
2026-08-02,B0C2,922,1844,44,41,1126.18,3064
2026-08-03,B0C1,780,1560,28,26,713.52,3036
2026-08-03,B0C2,920,1840,34,32,918.15,3002
2026-08-04,B0C1,480,960,24,22,637.24,2978
2026-08-04,B0C2,496,992,33,31,825.46,2945
2026-08-05,B0C1,426,852,19,18,505.08,2926
2026-08-05,B0C2,656,1312,21,19,427.54,2905
2026-08-06,B0C1,643,1286,32,30,715.48,2873
2026-08-06,B0C2,914,1828,51,48,976.22,2822
2026-08-07,B0C1,964,1928,50,47,955.33,2772
2026-08-07,B0C2,962,1924,56,53,1334.01,2716
2026-08-08,B0C1,713,1426,21,19,552.69,2695
2026-08-08,B0C2,860,1720,53,50,1440.96,2642
2026-08-09,B0C1,529,1058,35,33,830.18,2607
2026-08-09,B0C2,666,1332,25,23,593.45,2582
2026-08-10,B0C1,782,1564,31,29,699.73,2551
2026-08-10,B0C2,802,1604,54,51,1249.07,2497
2026-08-11,B0C1,669,1338,46,43,967.5,3351
2026-08-11,B0C2,502,1004,28,26,748.27,4223
2026-08-12,B0C1,452,904,15,14,336.2,4208
2026-08-12,B0C2,907,1814,29,27,553.47,4179
2026-08-13,B0C1,595,1190,19,18,505.55,4160
2026-08-13,B0C2,759,1518,39,37,1042.14,4121
2026-08-14,B0C1,517,1034,34,32,927.26,4087
2026-08-14,B0C2,655,1310,25,23,670.33,4062
2026-08-15,B0C1,906,1812,37,35,1010.75,4025
2026-08-15,B0C2,707,1414,46,43,1107.29,3979
2026-08-16,B0C1,453,906,16,15,426.46,3963
2026-08-16,B0C2,436,872,29,27,704.22,3934
2026-08-17,B0C1,827,1654,55,52,1193.14,3879
2026-08-17,B0C2,666,1332,35,33,932.57,3844
2026-08-18,B0C1,973,1946,42,39,1083.62,3802
2026-08-18,B0C2,563,1126,34,32,856.93,3768
2026-08-19,B0C1,500,1000,25,23,694.22,3743
2026-08-19,B0C2,474,948,16,15,337.43,3727
2026-08-20,B0C1,497,994,21,19,544.34,3706
2026-08-20,B0C2,826,1652,56,53,1228.49,3650
2026-08-21,B0C1,699,1398,42,39,968.31,3608
2026-08-21,B0C2,653,1306,28,26,769.17,3580
2026-08-22,B0C1,862,1724,32,30,776.73,3548
2026-08-22,B0C2,809,1618,27,25,663.32,3521
2026-08-23,B0C1,672,1344,39,37,769.8,3482
2026-08-23,B0C2,577,1154,26,24,677.43,3456
2026-08-24,B0C1,577,1154,34,32,742.9,3422
2026-08-24,B0C2,529,1058,17,16,467.27,3405
2026-08-25,B0C1,875,1750,38,36,814.26,3367
2026-08-25,B0C2,555,1110,18,17,411.82,3349
2026-08-26,B0C1,944,1888,43,40,827.16,3306
2026-08-26,B0C2,782,1564,40,38,974.89,3266
2026-08-27,B0C1,752,1504,48,45,917.33,3218
2026-08-27,B0C2,843,1686,38,36,750.97,3180
2026-08-28,B0C1,668,1336,35,33,718.42,3145
2026-08-28,B0C2,809,1618,29,27,621.19,3116
2026-08-29,B0C1,694,1388,34,32,665.36,3082
2026-08-29,B0C2,865,1730,35,33,759.42,3047
2026-08-30,B0C1,498,996,22,20,604.96,3025
2026-08-30,B0C2,927,1854,49,46,1017.24,2976
