Sponsored Display Campaign Report,Generated by Amazon Advertising
Report period,2026-08-01 - 2026-08-30,Currency: USD

Date,Campaign Name,Ad Group Name,Targeting Type,Targeting Expression,Advertised ASIN,Page Type,Impressions,Clicks,Spend,Orders,Sales,Matched Target,Matched Audience
2026-08-01,SD-Remarketing-Auto,SD-AG-Viewers,audience,remarketing_views, B0C1ABCD23,Product Pages,12540,82,29.40,3,58.90,Viewers of B0C1ABCD23,in-market-bath
2026-08-01,SD-Category-Targeting,SD-AG-Category,product,towel rack,B0C1ABCD23,Product Pages,9870,47,21.15,2,39.40,Similar to towel rack,home-decor-shoppers
2026-08-02,SD-Remarketing-Auto,SD-AG-Viewers,audience,remarketing_views, B0C1ABCD23,Product Pages,13210,90,32.10,3,62.10,Viewers of B0C1ABCD23,in-market-bath
2026-08-02,SD-Category-Targeting,SD-AG-Category,product,shower curtain, B0C1ABCD23,Product Pages,10450,51,22.80,2,41.20,Similar to shower curtain,bath-shoppers
2026-08-03,SD-Remarketing-Auto,SD-AG-Viewers,audience,remarketing_cart, B0C1ABCD23,Product Pages,11230,73,26.60,3,55.30,Add-to-cart B0C1ABCD23,in-market-bath
2026-08-04,SD-Category-Targeting,SD-AG-Category,product,curtain rod, B0C1ABCD23,Product Pages,8760,40,18.40,1,34.50,Similar to curtain rod,home-decor-shoppers
2026-08-05,SD-Remarketing-Auto,SD-AG-Viewers,audience,remarketing_views, B0C1ABCD23,Product Pages,12880,86,30.80,3,60.20,Viewers of B0C1ABCD23,in-market-bath
2026-08-06,SD-Category-Targeting,SD-AG-Category,product,bathroom curtain, B0C1ABCD23,Product Pages,9910,48,21.60,2,40.10,Similar to bathroom curtain,bath-shoppers
2026-08-07,SD-Remarketing-Auto,SD-AG-Viewers,audience,remarketing_cart, B0C1ABCD23,Product Pages,11980,78,28.10,3,57.40,Add-to-cart B0C1ABCD23,in-market-bath
2026-08-08,SD-Category-Targeting,SD-AG-Category,product,shower liner, B0C1ABCD23,Product Pages,8650,42,19.05,1,35.80,Similar to shower liner,bath-shoppers
2026-08-09,SD-Remarketing-Auto,SD-AG-Viewers,audience,remarketing_views, B0C1ABCD23,Product Pages,12440,84,30.10,3,59.70,Viewers of B0C1ABCD23,in-market-bath
2026-08-10,SD-Category-Targeting,SD-AG-Category,product,towel rack, B0C1ABCD23,Product Pages,10030,49,22.10,2,42.60,Similar to towel rack,home-decor-shoppers
