Sponsored Products Campaign Report,Generated by Amazon Advertising
Report period,2026-08-01 - 2026-08-30,Currency: USD

Date,Campaign Name,Ad Group Name,Keyword,Match Type,Impressions,Clicks,Spend,Orders,Sales
2026-08-01,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,5773,14,9.7,0,0.0
2026-08-01,CUR-Core-Exact,核心精准,shower curtain,EXACT,3023,13,15.38,1,22.7
2026-08-01,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,2652,12,12.99,1,23.95
2026-08-01,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,6165,32,32.25,3,72.6
2026-08-01,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,6643,36,30.71,6,136.2
2026-08-01,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3922,12,9.13,1,19.73
2026-08-01,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,2995,14,11.06,1,19.29
2026-08-01,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,4851,10,9.15,0,0.0
2026-08-01,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,6746,31,26.74,4,82.52
2026-08-02,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,2855,7,4.92,0,0.0
2026-08-02,CUR-Core-Exact,核心精准,shower curtain,EXACT,3691,17,22.63,1,26.41
2026-08-02,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,3332,17,16.6,1,27.33
2026-08-02,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,5817,24,26.67,3,63.3
2026-08-02,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,4866,22,21.78,4,95.64
2026-08-02,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,6005,21,14.56,2,52.6
2026-08-02,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,6621,31,24.07,4,109.56
2026-08-02,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,6986,16,15.2,0,0.0
2026-08-02,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,5791,25,20.79,2,47.9
2026-08-03,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,3076,10,7.69,0,0.0
2026-08-03,CUR-Core-Exact,核心精准,shower curtain,EXACT,2566,10,11.67,0,0.0
2026-08-03,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,4570,21,22.69,3,67.08
2026-08-03,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,4440,26,32.64,3,79.95
