Sponsored Products Search Term Report

Date,Campaign Name,Ad Group Name,Customer Search Term,Match Type,Impressions,Clicks,Spend,Orders,Sales
2026-08-01,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,354,1,0.9,0,0.0
2026-08-01,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,1119,5,4.93,0,0.0
2026-08-01,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,847,1,0.64,0,0.0
2026-08-02,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,357,1,0.65,0,0.0
2026-08-02,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1713,5,4.35,0,0.0
2026-08-02,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,858,3,3.52,0,0.0
2026-08-02,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,903,5,4.94,0,0.0
2026-08-02,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,1099,4,3.27,0,0.0
2026-08-03,CUR-Auto-Discovery,自动发现,waterproof fabric shower liner,AUTO,1590,7,6.92,1,18.66
2026-08-03,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,781,2,2.36,0,0.0
2026-08-03,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,916,1,0.99,0,0.0
2026-08-03,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,373,1,1.07,0,0.0
2026-08-03,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,1713,10,6.56,1,24.7
2026-08-04,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,899,5,3.68,0,0.0
2026-08-04,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,407,1,1.04,0,0.0
2026-08-04,CUR-Auto-Discovery,自动发现,bathroom curtains clearance,AUTO,1769,4,3.83,0,0.0
2026-08-04,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,1479,7,6.04,0,0.0
2026-08-04,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,686,4,4.21,0,0.0
2026-08-05,CUR-Auto-Discovery,自动发现,shower curtain rings 12,AUTO,1160,3,2.15,0,0.0
2026-08-05,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,1102,4,3.32,0,0.0
2026-08-05,CUR-Auto-Discovery,自动发现,waffle weave shower curtain,AUTO,608,3,2.25,0,0.0
2026-08-05,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1335,7,6.37,1,19.25
2026-08-06,CUR-Auto-Discovery,自动发现,fabric shower curtain 72,AUTO,387,2,1.74,0,0.0
2026-08-06,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,967,3,1.98,0,0.0
2026-08-06,CUR-Auto-Discovery,自动发现,shower curtain magnets,AUTO,1167,5,5.12,0,0.0
2026-08-07,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,1323,7,5.98,0,0.0
2026-08-07,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,1475,6,6.86,0,0.0
2026-08-08,CUR-Auto-Discovery,自动发现,black shower curtain,AUTO,692,3,3.0,0,0.0
2026-08-08,CUR-Auto-Discovery,自动发现,shower curtain for clawfoot tub,AUTO,1314,5,4.66,0,0.0
2026-08-08,CUR-Auto-Discovery,自动发现,hotel collection shower curtain,AUTO,964,3,3.22,0,0.0
2026-08-08,CUR-Auto-Discovery,自动发现,peva shower liner,AUTO,1486,4,4.22,0,0.0
